Size,Diameter,Amplitude,Width,Frequency,Validity
63.3,49.4,30.0,80.0,100,Valid
45.3,44.2,30.0,80.0,200,Valid
30.2,38.6,30.0,80.0,300,Valid
36.4,41.1,30.0,80.0,400,Valid
29.5,38.3,30.0,80.0,500,Valid
31.6,39.2,30.0,80.0,600,Valid
54.8,47.1,30.0,80.0,700,Valid
28.6,37.9,30.0,80.0,400,Valid
53.0,46.6,30.0,80.0,300,Valid
46.4,44.6,30.0,80.0,200,Valid
48.6,45.3,30.0,80.0,100,Valid
42.5,43.3,30.0,80.0,500,Valid
69.1,50.9,30.0,80.0,600,Valid
46.5,44.6,30.0,80.0,700,Valid
56.5,47.6,25,80.0,200,Valid
56.5,47.6,,80.0,200,Invalid
45.8,44.4,30,80.0,200,Valid
58.7,48.2,35.0,80.0,200,Valid
30.4,38.7,40.0,80.0,200,Valid
46.1,44.5,45,80.0,200,Valid
44.8,44.1,50,80.0,200,Valid
22.3,34.9,55.0,80.0,200,Valid
59.8,48.5,50.0,60.0,100,Valid
58.0,48.0,50.0,50.0,100,Valid
40.6,42.6,50.0,40.0,100,Valid
20.4,33.9,25.0,40.0,100,Valid
20.3,33.9,25.0,50.0,100,Invalid
30.2,38.7,30.0,50.0,100,Valid
31.3,39.1,35,50.0,100,Valid
33.6,40.0,40.0,50.0,100,Valid
38.1,41.8,45,50.0,100,Valid
57.2,47.8,50,50.0,100,Valid
48.7,45.3,55,50.0,100,Valid
68.6,50.8,60.0,50.0,100,Valid
140.3,64.5,65.0,50.0,100,Valid
75.8,52.5,70.0,50.0,100,Valid
64.4,49.7,75.0,50.0,100,Valid
83.4,54.2,80,50.0,100,Valid
49.7,45.6,85,50.0,100,Valid
67.6,50.5,90,50.0,100,Valid
42.9,43.4,95.0,50.0,100,Valid
42.9,43.4,100,50.0,100,Valid
28.9,38.1,30.0,50.0,200,Valid
33.3,39.9,35,50.0,200,Valid
27.3,37.4,40,50.0,200,Valid
32.4,39.6,45.0,50.0,200,Valid
59.3,48.4,50.0,50.0,200,Valid
10.42,58.4,55.0,50.0,200,Valid
23.0,35.3,30.0,50.0,300,Valid
17.0,31.9,35.0,50.0,300,Valid
21.2,34.4,40.0,50.0,300,Valid
20.2,33.8,35.0,50.0,300,Valid
18.4,32.8,40.0,50.0,300,Valid
13.0,29.2,45,50.0,300,Valid
43.1,43.5,50.0,50.0,300,Valid
34.5,40.4,55.0,50.0,300,Valid
17.9,32.5,60.0,50.0,300,Invalid
18.0,32.5,30.0,50.0,400,Valid
24.1,35.8,35,50.0,400,Valid
