Size,Diameter,Amplitude,Width,Frequency,Image,Validity
36.8,41.3,30.0,50.0,60,Screenshot 2025-04-18 151747.png,Valid
15.8,31.2,60.0,50.0,60,Screenshot 2025-04-18 151551.png,Invalid
35.1,40.6,40.0,50.0,60,Screenshot 2025-04-18 151419.png,Valid
35.2,40.7,30.0,50.0,60,Screenshot 2025-04-18 151800.png,Valid
72,23.9,80.0,50.0,60,Screenshot 2025-04-18 151632.png,Invalid
32.6,39.7,40.0,50.0,60,Screenshot 2025-04-18 151356.png,Invalid
80.8,53.6,60.0,50.0,60,Screenshot 2025-04-18 151550.png,Valid
54.6,47.1,60.0,50.0,60,Screenshot 2025-04-18 151544.png,Valid
32.3,39.5,30.0,50.0,60,Screenshot 2025-04-18 151752.png,Valid
32.0,39.4,30.0,50.0,60,Screenshot 2025-04-18 151750.png,Valid
15.9,31.2,60.0,50.0,60,Screenshot 2025-04-18 151546.png,Valid
72,23.9,80.0,50.0,60,Screenshot 2025-04-18 151630.png,Invalid
32.7,39.7,30.0,50.0,60,Screenshot 2025-04-18 151802.png,Valid
34.1,40.2,30.0,50.0,60,Screenshot 2025-04-18 151745.png,Valid
67.8,50.6,60.0,50.0,60,Screenshot 2025-04-18 151557.png,Valid
34.6,40.4,30.0,50.0,60,Screenshot 2025-04-18 151806.png,Valid
67,23.4,80.0,50.0,60,Screenshot 2025-04-18 151635.png,Invalid
62.4,49.2,60.0,50.0,60,Screenshot 2025-04-18 151609.png,Valid
72,23.9,80.0,50.0,60,Screenshot 2025-04-18 151634.png,Invalid
31.5,39.2,50.0,50.0,60,Screenshot 2025-04-18 151436.png,Invalid
15.7,31.1,60.0,50.0,60,Screenshot 2025-04-18 151542.png,Valid
34.0,40.2,30.0,50.0,60,Screenshot 2025-04-18 151740.png,Invalid
35.1,40.6,30.0,50.0,60,Screenshot 2025-04-18 151754.png,Valid
34.0,40.2,30.0,50.0,60,Screenshot 2025-04-18 151742.png,Invalid
